id_process|date_entry|internal_id|id_user|id_category|id_status|id_user_rol|id_department|id_city
2021167596|2021-08-02|2021167596|2|1|300|1|11|11001
2021202484|2021-09-16|2021267718|1|1|300|1|25|25286
2021231164|2021-10-12|2021071540|2|1|300|1|17|17001
2021238231|2021-10-26|2021045481|3|1|300|1|5|5001
2021262233|2021-11-30|2021224106|4|1|300|1|76|76246
2021270694|2021-11-30|2021182519|8|3|300|1|23|23419
2021263585|2021-12-01|2021101325|5|1|300|1|25|25035
2021268811|2021-12-09|2021201191|6|1|300|1|52|52001
2021268814|2021-12-10|2021128143|7|3|300|1|25|25126
2022008144|2022-01-12|2021032577|1|2|300|1|17|17001
2022015560|2022-01-25|2021108563|2|2|300|1|5|5079
2022017080|2022-01-26|2021195603|3|2|500|1|52|52254
2022019123|2022-01-27|2021028422|5|2|300|1|11|11001
2022021239|2022-02-01|2021170973|8|4|300|1|23|23419
2022022067|2022-02-02|2021232170|1|2|300|1|5|5088
2022022327|2022-02-02|2021205381|2|3|300|1|11|11001
2022030298|2022-02-14|2020260123|3|3|500|1|25|25126
2022030299|2022-02-14|2021182853|6|1|300|1|11|11001
2022038327|2022-02-23|2021266227|7|1|300|1|5|5088
2022038589|2022-02-23|2021164574|8|1|300|1|11|11001
2018021682|2022-03-10|2017037755|5|1|500|1|25|25286
2022062504|2022-03-23|2021099346|1|1|300|1|11|11001
2022063636|2022-03-24|2021254178|3|1|300|1|11|11001
2022063641|2022-03-24|2021225055|8|1|500|1|11|11001
2022071361|2022-04-04|2021167138|1|3|300|1|52|52399
2022072947|2022-04-06|2022015393|2|3|300|1|5|5001
2022089630|2022-04-29|2021255058|3|3|300|1|11|11001
2022089733|2022-04-29|2021234305|7|3|500|1|5|5079
2022089729|2022-04-29|2022012352|8|1|300|1|11|11001
2022091983|2022-05-03|2021279947|5|1|300|1|25|25035
2022105176|2022-05-20|2021186689|4|1|300|1|11|11001
2022106491|2022-05-23|2021242852|5|3|300|1|11|11001
2022106489|2022-05-23|2022002293|1|2|500|1|5|5088
2022107532|2022-05-25|2021217395|2|3|300|1|52|52001
2022107533|2022-05-25|2022063251|4|3|300|1|11|11001
2022107535|2022-05-25|2021187772|2|3|300|1|11|11001
2022111635|2022-06-01|2021180608|4|2|300|1|11|11001
2022112391|2022-06-01|2022034864|4|2|500|1|11|11001
2022116046|2022-06-06|2022069284|6|2|100|1|25|25126
2022118659|2022-06-08|2021253572|8|2|100|1|52|52254
2022118662|2022-06-09|2022005066|1|4|500|1|11|11001
2022121448|2022-06-13|2020296611|2|2|100|1|5|5001
2022127056|2022-06-21|2022027781|1|2|100|1|11|11001
2022133135|2022-06-30|2021218374|2|2|100|1|11|11001
2022134916|2022-07-06|2021259140|4|4|100|1|5|5079
2022138095|2022-07-14|2021269128|1|4|100|1|11|11001
2022138133|2022-07-14|2022138133|2|4|100|1|11|11001
2101113460|2024-04-24|2100488113|1|1|100|1|11|11001
2180088787|2024-05-04|2179463440|1|1|100|1|11|11001
2259064114|2024-05-14|2258438767|1|1|100|1|25|25286
2338039441|2024-05-24|2337414094|2|1|100|1|76|76563
2417014768|2024-06-03|2416389421|2|1|100|1|52|52399
2495990095|2024-06-13|2495364748|3|1|100|1|5|5001
2574965422|2024-06-23|2574340075|4|1|100|1|11|11001
2653940749|2024-07-03|2653315402|5|2|100|1|76|76377
2732916076|2024-07-13|2732290729|7|2|100|1|11|11001
2811891403|2024-07-23|2811266056|8|2|100|1|11|11001
2890866730|2024-08-02|2890241383|8|2|100|1|11|11001
2969842057|2024-08-12|2969216710|8|3|100|1|76|76246
3048817384|2024-08-22|3048192037|6|3|100|1|11|11001
3127792711|2024-09-01|3127167364|4|3|100|1|52|52001
3206768038|2024-09-11|3206142691|5|3|100|1|25|25035
3285743365|2024-09-21|3285118018|5|3|100|1|76|76377
3364718692|2024-10-01|3364093345|6|3|100|1|11|11001
3443694019|2024-10-11|3443068672|2|3|100|1|5|5079
3522669346|2024-10-21|3522043999|2|3|100|1|52|52254
3601644673|2024-10-31|3601019326|3|3|100|1|76|76563
3680620000|2024-11-10|3679994653|4|3|100|1|76|76246
3759595327|2024-11-20|3758969980|8|3|100|1|11|11001
