id_city|city_name|id_departamento
5001|Medellín|5
5002|Abejorral|5
5004|Abriaquí|5
5021|Alejandría|5
503|Amagá|5
5031|Amalfi|5
5034|Andes|5
5036|Angelópolis|5
5038|Angostura|5
504|Anorí|5
15832|Tununguá|15
5044|Anza|5
5045|Apartadó|5
5051|Arboletes|5
5055|Argelia|5
5059|Armenia|5
5079|Barbosa|5
5088|Bello|5
5091|Betania|5
5093|Betulia|5
5101|Ciudad Bolívar|5
5107|Briceño|5
5113|Buriticá|5
512|Cáceres|5
5125|Caicedo|5
5129|Caldas|5
5134|Campamento|5
5138|Cañasgordas|5
5142|Caracolí|5
5145|Caramanta|5
5147|Carepa|5
15476|Motavita|15
515|Carolina|5
5154|Caucasia|5
5172|Chigorodó|5
519|Cisneros|5
5197|Cocorná|5
5206|Concepción|5
5209|Concordia|5
5212|Copacabana|5
5234|Dabeiba|5
5237|Don Matías|5
524|Ebéjico|5
525|El Bagre|5
5264|Entrerrios|5
5266|Envigado|5
5282|Fredonia|5
23675|San Bernardo del Viento|23
5306|Giraldo|5
5308|Girardota|5
531|Gómez Plata|5
27361|Istmina|27
5315|Guadalupe|5
5318|Guarne|5
5321|Guatapé|5
5347|Heliconia|5
5353|Hispania|5
536|Itagui|5
5361|Ituango|5
5086|Belmira|5
5368|Jericó|5
5376|La Ceja|5
538|La Estrella|5
539|La Pintada|5
54|La Unión|5
5411|Liborina|5
5425|Maceo|5
544|Marinilla|5
5467|Montebello|5
5475|Murindó|5
548|Mutatá|5
5483|Nariño|5
549|Necoclí|5
5495|Nechí|5
5501|Olaya|5
5541|Peñol|5
5543|Peque|5
5576|Pueblorrico|5
5579|Puerto Berrío|5
5585|Puerto Nare|5
5591|Puerto Triunfo|5
5604|Remedios|5
5607|Retiro|5
5615|Rionegro|5
5628|Sabanalarga|5
5631|Sabaneta|5
5642|Salgar|5
15189|Ciénega|15
52699|Santacruz|52
5652|San Francisco|5
5656|San Jerónimo|5
68575|Puerto Wilches|68
68573|Puerto Parra|68
566|San Luis|5
5664|San Pedro|5
5667|San Rafael|5
567|San Roque|5
5674|San Vicente|5
5679|Santa Bárbara|5
569|Santo Domingo|5
5697|El Santuario|5
5736|Segovia|5
5761|Sopetrán|5
5037|Uribe|50
5789|Támesis|5
579|Tarazá|5
5792|Tarso|5
5809|Titiribí|5
5819|Toledo|5
5837|Turbo|5
5842|Uramita|5
5847|Urrao|5
5854|Valdivia|5
5856|Valparaíso|5
5858|Vegachí|5
5861|Venecia|5
5885|Yalí|5
5887|Yarumal|5
589|Yolombó|5
5893|Yondó|5
5895|Zaragoza|5
8001|Barranquilla|8
8078|Baranoa|8
8141|Candelaria|8
8296|Galapa|8
8421|Luruaco|8
8433|Malambo|8
8436|Manatí|8
8549|Piojó|8
8558|Polonuevo|8
8634|Sabanagrande|8
8638|Sabanalarga|8
8675|Santa Lucía|8
8685|Santo Tomás|8
8758|Soledad|8
877|Suan|8
8832|Tubará|8
8849|Usiacurí|8
13006|Achí|13
13042|Arenal|13
13052|Arjona|13
13062|Arroyohondo|13
1314|Calamar|13
1316|Cantagallo|13
13188|Cicuco|13
13212|Córdoba|13
13222|Clemencia|13
13248|El Guamo|13
1343|Magangué|13
13433|Mahates|13
1344|Margarita|13
13458|Montecristo|13
13468|Mompós|13
13473|Morales|13
1349|Norosí|13
13549|Pinillos|13
1358|Regidor|13
136|Río Viejo|13
13647|San Estanislao|13
1365|San Fernando|13
13657|San Juan Nepomuceno|13
13673|Santa Catalina|13
13683|Santa Rosa|13
13744|Simití|13
1376|Soplaviento|13
1378|Talaigua Nuevo|13
1381|Tiquisio|13
13836|Turbaco|13
13838|Turbaná|13
13873|Villanueva|13
15001|Tunja|15
15022|Almeida|15
15047|Aquitania|15
15051|Arcabuco|15
1509|Berbeo|15
15092|Betéitiva|15
15097|Boavita|15
15104|Boyacá|15
15106|Briceño|15
15109|Buena Vista|15
15114|Busbanzá|15
15131|Caldas|15
15135|Campohermoso|15
15162|Cerinza|15
15172|Chinavita|15
15176|Chiquinquirá|15
1518|Chiscas|15
15183|Chita|15
15185|Chitaraque|15
15187|Chivatá|15
15204|Cómbita|15
15212|Coper|15
15215|Corrales|15
15218|Covarachía|15
15223|Cubará|15
15224|Cucaita|15
15226|Cuítiva|15
15232|Chíquiza|15
15236|Chivor|15
15238|Duitama|15
15244|El Cocuy|15
15248|El Espino|15
15272|Firavitoba|15
15276|Floresta|15
15293|Gachantivá|15
15296|Gameza|15
15299|Garagoa|15
15317|Guacamayas|15
15322|Guateque|15
15325|Guayatá|15
15332|Güicán|15
15362|Iza|15
15367|Jenesano|15
15368|Jericó|15
15377|Labranzagrande|15
1538|La Capilla|15
15401|La Victoria|15
15425|Macanal|15
15442|Maripí|15
15455|Miraflores|15
15464|Mongua|15
15466|Monguí|15
15469|Moniquirá|15
1548|Muzo|15
15491|Nobsa|15
15494|Nuevo Colón|15
155|Oicatá|15
15507|Otanche|15
15511|Pachavita|15
15514|Páez|15
15516|Paipa|15
15518|Pajarito|15
15522|Panqueba|15
15531|Pauna|15
15533|Paya|15
15542|Pesca|15
1555|Pisba|15
15572|Puerto Boyacá|15
1558|Quípama|15
15599|Ramiriquí|15
156|Ráquira|15
15621|Rondón|15
15632|Saboyá|15
15638|Sáchica|15
15646|Samacá|15
1566|San Eduardo|15
15673|San Mateo|15
15686|Santana|15
1569|Santa María|15
15696|Santa Sofía|15
1572|Sativanorte|15
15723|Sativasur|15
1574|Siachoque|15
15753|Soatá|15
15755|Socotá|15
15757|Socha|15
15759|Sogamoso|15
15761|Somondoco|15
15762|Sora|15
15763|Sotaquirá|15
15764|Soracá|15
15774|Susacón|15
15776|Sutamarchán|15
15778|Sutatenza|15
1579|Tasco|15
15798|Tenza|15
15804|Tibaná|15
15808|Tinjacá|15
1581|Tipacoque|15
15814|Toca|15
1582|Tópaga|15
15822|Tota|15
15835|Turmequé|15
15839|Tutazá|15
15842|Umbita|15
15861|Ventaquemada|15
15879|Viracachá|15
15897|Zetaquira|15
17001|Manizales|17
17013|Aguadas|17
17042|Anserma|17
1705|Aranzazu|17
17088|Belalcázar|17
17174|Chinchiná|17
17272|Filadelfia|17
1738|La Dorada|17
17388|La Merced|17
17433|Manzanares|17
17442|Marmato|17
17446|Marulanda|17
17486|Neira|17
17495|Norcasia|17
17513|Pácora|17
17524|Palestina|17
17541|Pensilvania|17
17614|Riosucio|17
17616|Risaralda|17
17653|Salamina|17
17662|Samaná|17
17665|San José|17
17777|Supía|17
17867|Victoria|17
17873|Villamaría|17
17877|Viterbo|17
18001|Florencia|18
18029|Albania|18
18205|Curillo|18
18247|El Doncello|18
18256|El Paujil|18
18479|Morelia|18
18592|Puerto Rico|18
18756|Solano|18
18785|Solita|18
1886|Valparaíso|18
19001|Popayán|19
19022|Almaguer|19
1905|Argelia|19
19075|Balboa|19
191|Bolívar|19
1911|Buenos Aires|19
1913|Cajibío|19
19137|Caldono|19
19142|Caloto|19
19212|Corinto|19
19256|El Tambo|19
1929|Florencia|19
193|Guachené|19
19318|Guapi|19
19355|Inzá|19
19364|Jambaló|19
19392|La Sierra|19
19397|La Vega|19
19418|López|19
1945|Mercaderes|19
19455|Miranda|19
19473|Morales|19
19513|Padilla|19
19532|Patía|19
19533|Piamonte|19
19548|Piendamó|19
19573|Puerto Tejada|19
19585|Puracé|19
19622|Rosas|19
19701|Santa Rosa|19
19743|Silvia|19
1976|Sotara|19
1978|Suárez|19
19785|Sucre|19
19807|Timbío|19
19809|Timbiquí|19
19821|Toribio|19
19824|Totoró|19
19845|Villa Rica|19
20001|Valledupar|20
20011|Aguachica|20
20013|Agustín Codazzi|20
20032|Astrea|20
20045|Becerril|20
2006|Bosconia|20
20175|Chimichagua|20
20178|Chiriguaná|20
20228|Curumaní|20
20238|El Copey|20
2025|El Paso|20
20295|Gamarra|20
2031|González|20
20383|La Gloria|20
20443|Manaure|20
20517|Pailitas|20
2055|Pelaya|20
2057|Pueblo Bello|20
20621|La Paz|20
2071|San Alberto|20
2075|San Diego|20
2077|San Martín|20
20787|Tamalameque|20
23001|Montería|23
23068|Ayapel|23
23079|Buenavista|23
2309|Canalete|23
23162|Cereté|23
23168|Chimá|23
23182|Chinú|23
233|Cotorra|23
23417|Lorica|23
23419|Los Córdobas|23
23464|Momil|23
235|Moñitos|23
23555|Planeta Rica|23
2357|Pueblo Nuevo|23
23574|Puerto Escondido|23
23586|Purísima|23
2366|Sahagún|23
2367|San Andrés Sotavento|23
23672|San Antero|23
23686|San Pelayo|23
23807|Tierralta|23
23815|Tuchín|23
23855|Valencia|23
25035|Anapoima|25
25053|Arbeláez|25
25086|Beltrán|25
25095|Bituima|25
25099|Bojacá|25
2512|Cabrera|25
25123|Cachipay|25
25126|Cajicá|25
25148|Caparrapí|25
25151|Caqueza|25
25168|Chaguaní|25
25178|Chipaque|25
25181|Choachí|25
25183|Chocontá|25
252|Cogua|25
25214|Cota|25
25224|Cucunubá|25
25245|El Colegio|25
2526|El Rosal|25
25279|Fomeque|25
25281|Fosca|25
25286|Funza|25
25288|Fúquene|25
25293|Gachala|25
25295|Gachancipá|25
25297|Gachetá|25
25307|Girardot|25
25312|Granada|25
25317|Guachetá|25
2532|Guaduas|25
25322|Guasca|25
25324|Guataquí|25
25326|Guatavita|25
25335|Guayabetal|25
25339|Gutiérrez|25
25368|Jerusalén|25
25372|Junín|25
25377|La Calera|25
25386|La Mesa|25
25394|La Palma|25
25398|La Peña|25
25402|La Vega|25
25407|Lenguazaque|25
25426|Macheta|25
2543|Madrid|25
25436|Manta|25
25438|Medina|25
25473|Mosquera|25
25483|Nariño|25
25486|Nemocón|25
25488|Nilo|25
25489|Nimaima|25
25491|Nocaima|25
25506|Venecia|25
25513|Pacho|25
25518|Paime|25
25524|Pandi|25
2553|Paratebueno|25
25535|Pasca|25
25572|Puerto Salgar|25
2558|Pulí|25
25592|Quebradanegra|25
25594|Quetame|25
25596|Quipile|25
25599|Apulo|25
25612|Ricaurte|25
25649|San Bernardo|25
25653|San Cayetano|25
25658|San Francisco|25
25736|Sesquilé|25
2574|Sibaté|25
25743|Silvania|25
25745|Simijaca|25
25754|Soacha|25
25769|Subachoque|25
25772|Suesca|25
25777|Supatá|25
25779|Susa|25
25781|Sutatausa|25
25785|Tabio|25
25793|Tausa|25
25797|Tena|25
25799|Tenjo|25
25805|Tibacuy|25
25807|Tibirita|25
25815|Tocaima|25
25817|Tocancipá|25
25823|Topaipí|25
25839|Ubalá|25
25841|Ubaque|25
25845|Une|25
25851|Útica|25
25867|Vianí|25
25871|Villagómez|25
25873|Villapinzón|25
25875|Villeta|25
25878|Viotá|25
25898|Zipacón|25
27001|Quibdó|27
27006|Acandí|27
27025|Alto Baudo|27
2705|Atrato|27
27073|Bagadó|27
27075|Bahía Solano|27
27077|Bajo Baudó|27
27099|Bojaya|27
2716|Cértegui|27
27205|Condoto|27
27372|Juradó|27
27413|Lloró|27
27425|Medio Atrato|27
2743|Medio Baudó|27
2745|Medio San Juan|27
27491|Nóvita|27
27495|Nuquí|27
2758|Río Iro|27
276|Río Quito|27
27615|Riosucio|27
27745|Sipí|27
278|Unguía|27
41001|Neiva|41
41006|Acevedo|41
41013|Agrado|41
41016|Aipe|41
4102|Algeciras|41
41026|Altamira|41
41078|Baraya|41
41132|Campoalegre|41
41206|Colombia|41
41244|Elías|41
41298|Garzón|41
41306|Gigante|41
41319|Guadalupe|41
41349|Hobo|41
41357|Iquira|41
41359|Isnos|41
41378|La Argentina|41
41396|La Plata|41
41483|Nátaga|41
41503|Oporapa|41
41518|Paicol|41
41524|Palermo|41
4153|Palestina|41
41548|Pital|41
41551|Pitalito|41
41615|Rivera|41
4166|Saladoblanco|41
41676|Santa María|41
4177|Suaza|41
41791|Tarqui|41
41797|Tesalia|41
41799|Tello|41
41801|Teruel|41
41807|Timaná|41
41872|Villavieja|41
41885|Yaguará|41
44001|Riohacha|44
44035|Albania|44
44078|Barrancas|44
